global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
2482.8365582587244,2.2571241438715683e-15,1.0,3.2071930506871125,9.290295963285422,0.0,0.0,1359.0,1199037.0,0.001,0.8821177710750495,0.2620570764068803,1e-20,1.0004197330807592,0.0,2138.0
2483.553733134581,2.2577761210314377e-15,1.0,3.2080231737893223,9.2929038719249,0.0,0.0,1359.0,1199544.0,0.001,0.8822356533039745,0.26192332586477596,1e-20,1.0004200345605019,0.0,2139.0
2484.271115168577,2.258428286516889e-15,1.0,3.20885353667511,9.295512533866702,0.0,0.0,1360.0,1200051.0,0.001,0.8823534176506705,0.26178960501279086,1e-20,1.0004203360401105,0.0,2140.0
2484.988704420551,2.2590806403823198e-15,1.0,3.2096841394137376,9.298121949328428,0.0,0.0,1360.0,1200557.0,0.001,0.8824710642330199,0.26165591388574977,1e-20,1.0004206375195852,0.0,2141.0
2485.7065009503585,2.2597331826821448e-15,1.0,3.2105149820744874,9.300732118527726,0.0,0.0,1360.0,1201064.0,0.001,0.8825885931687869,0.26152225251842665,1e-20,1.0004209389989258,0.0,2142.0
2486.4245048178723,2.260385913470794e-15,1.0,3.211346064726661,9.303343041682322,0.0,0.0,1361.0,1201571.0,0.001,0.8827060045756181,0.2613886209455448,1e-20,1.0004212404781325,0.0,2143.0
2487.1427160829826,2.261038832802712e-15,1.0,3.2121773874395814,9.305954719009996,0.0,0.0,1361.0,1202078.0,0.001,0.8828232985710425,0.26125501920177713,1e-20,1.0004215419572053,0.0,2144.0
2487.8611348055965,2.261691940732361e-15,1.0,3.2130089502825907,9.308567150728592,0.0,0.0,1362.0,1202585.0,0.001,0.8829404752724714,0.2611214473217455,1e-20,1.0004218434361443,0.0,2145.0
2488.5797610456393,2.262345237314218e-15,1.0,3.2138407533250515,9.311180337056019,0.0,0.0,1362.0,1203091.0,0.001,0.883057534797199,0.2609879053400216,1e-20,1.0004221449149493,0.0,2146.0
2489.2985948630526,2.2629987226027757e-15,1.0,3.2146727966363455,9.31379427821025,0.0,0.0,1362.0,1203598.0,0.001,0.8831744772624017,0.26085439329112636,1e-20,1.0004224463936204,0.0,2147.0
