"agents,0,boundary,mass","agents,0,boundary,volume","agents,0,boundary,width","agents,0,boundary,length","agents,0,boundary,surface_area","agents,0,internal,protein","agents,1,boundary,mass","agents,1,boundary,volume","agents,1,boundary,width","agents,1,boundary,length","agents,1,boundary,surface_area","agents,1,internal,protein","total_global,mass","total_global,volume",time
1465.0993279686083,1.330577249070298,1.0,2.0274769041745646,5.584108384080341,42215476.18432058,1465.0993626738746,1.330577249070298,1.0,2.0274769041745646,5.584108384080341,42215477.18432058,2930.1986906424827,2.661154498140596,90.0
1466.5651742863245,1.3319084799714622,1.0,2.0291718800011003,5.589433307684997,42257713.18432058,1466.5652089915902,1.3319085115217042,1.0,2.029171920172116,5.589433433885966,42257714.18432058,2933.130383277915,2.6638169914931664,91.0
1468.0324435199439,1.3332410675330222,1.0,2.030868583181301,5.594763657931239,42299991.18432058,1468.0324782252096,1.333241099083264,1.0,2.0308686233523163,5.594763784132205,42299992.18432058,2936.0649217451537,2.6664821666162863,92.0
1469.5012050799994,1.3345749486544944,1.0,2.0325669333731353,5.600099182417129,42342312.18432058,1469.5012397852652,1.334574980204736,1.0,2.0325669735441503,5.600099308618093,42342313.18432058,2939.002444865265,2.6691499288592304,93.0
1470.97145896649,1.3359101864363632,1.0,2.0342670109186347,5.605440133544602,42384676.18432058,1470.9714936717562,1.3359102179866047,1.0,2.0342670510896497,5.605440259745567,42384677.18432058,2941.9429526382464,2.671820404422968,94.0
1472.4431357688848,1.3372467808786273,1.0,2.0359688158177986,5.610786511313659,42427081.18432058,1472.4431704741507,1.3372468124288692,1.0,2.0359688559888145,5.610786637514627,42427082.18432058,2944.8863062430355,2.6744935933074965,95.0
1473.916339602981,1.3385846688808043,1.0,2.037672267728597,5.616138063322367,42469530.18432058,1473.916374308247,1.338584700431046,1.0,2.0376723078996126,5.616138189523333,42469531.18432058,2947.832713911228,2.6771693693118506,96.0
1475.391001058247,1.3399239450936191,1.0,2.039377487164076,5.621495168173626,42512021.18432058,1475.391035763513,1.3399239766438609,1.0,2.0393775273350916,5.6214952943745935,42512022.18432058,2950.78203682176,2.6798479217374798,97.0
1476.8671201346824,1.3412645464165882,1.0,2.0410843937822047,5.626857573465502,42554554.18432058,1476.8671548399484,1.34126457796683,1.0,2.04108443395322,5.62685769966647,42554555.18432058,2953.734274974631,2.682529124383418,98.0
1478.3446968322878,1.3426064728497114,1.0,2.0427929875829824,5.6322252791979945,42597129.18432058,1478.3447315375538,1.342606504399953,1.0,2.042793027753998,5.6322254053989615,42597130.18432058,2956.6894283698416,2.6852129772496642,99.0
1479.8238005615947,1.343949724392989,1.0,2.04450326856641,5.637598285371105,42639748.18432058,1479.8238352668607,1.3439497559432307,1.0,2.0445033087374256,5.637598411572073,42639749.18432058,2959.6476358284553,2.6878994803362195,100.0
1481.304361912071,1.3452943641469042,1.0,2.046215317074518,5.642976844386766,42682409.18432058,1481.3043966173373,1.3452943956971462,1.0,2.0462153572455337,5.642976970587735,42682410.18432058,2962.608758529408,2.6905887598440503,101.0
