internal_porin,internal_AcrAB-TolC,internal_antibiotic,external_antibiotic,fluxes_antibiotic_import,fluxes_antibiotic_export,exchange_antibiotic,global_growth_rate,global_mass,global_volume,global_mmol_to_counts,global_prior_mass,global_density,time
1.0,1.0,0.05617992839373397,0.9317053492452786,6.082933404385674e-05,1.711114531766756e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1074.0
1.0,1.0,0.056223633038542636,0.931652211995129,6.0827975152294165e-05,1.7123330343632147e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1075.0
1.0,1.0,0.05626732414473721,0.9315990747449795,6.082661616644418e-05,1.713550997186973e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1076.0
1.0,1.0,0.05631100171761782,0.93154593749483,6.082525708629698e-05,1.714768420569045e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1077.0
1.0,1.0,0.05635466576248126,0.9314928002446804,6.0823897911842715e-05,1.715985304840159e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1078.0
1.0,1.0,0.05639831628462102,0.9314396629945308,6.082253864307162e-05,1.717201650330757e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1079.0
1.0,1.0,0.05644195328932728,0.9313865257443813,6.082117927997385e-05,1.7184174573709946e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1080.0
1.0,1.0,0.05648557678188691,0.9313333884942318,6.0819819822539575e-05,1.719632726290742e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1081.0
1.0,1.0,0.05652918676758348,0.9312802512440822,6.0818460270759e-05,1.720847457419583e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1082.0
1.0,1.0,0.056572783251697234,0.9312271139939327,6.0817100624622266e-05,1.7220616510868162e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1083.0
1.0,1.0,0.05661636623950514,0.9311739767437831,6.0815740884119604e-05,1.7232753076214568e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1084.0
1.0,1.0,0.05665993573628086,0.9311208394936336,6.081438104924114e-05,1.7244884273522342e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1085.0
1.0,1.0,0.056703491747294756,0.931067702243484,6.081302111997707e-05,1.7257010106075933e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1086.0
1.0,1.0,0.05674703427781392,0.9310145649933345,6.0811661096317566e-05,1.7269130577156957e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1087.0
1.0,1.0,0.05679056333310213,0.9309614277431849,6.0810300978252794e-05,1.7281245690044203e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1088.0
1.0,1.0,0.05683407891841989,0.9309082904930354,6.080894076577294e-05,1.7293355448013605e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1089.0
1.0,1.0,0.05687758103902442,0.9308551532428858,6.080758045886815e-05,1.7305459854338285e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1090.0
1.0,1.0,0.056921069700169656,0.9308020159927363,6.08062200575286e-05,1.7317558912288525e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1091.0
1.0,1.0,0.05696454490710627,0.9307488787425867,6.0804859561744464e-05,1.7329652625131796e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1092.0
1.0,1.0,0.05700800666508164,0.9306957414924372,6.080349897150589e-05,1.7341740996132745e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1093.0
1.0,1.0,0.057051454979339895,0.9306426042422876,6.080213828680307e-05,1.7353824028553195e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1094.0
1.0,1.0,0.05709488985512187,0.9305894669921381,6.0800777507626126e-05,1.736590172565216e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1095.0
1.0,1.0,0.057138311297665154,0.9305363297419885,6.079941663396526e-05,1.7377974090685842e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1096.0
1.0,1.0,0.05718171931220405,0.930483192491839,6.0798055665810594e-05,1.739004112690764e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1097.0
1.0,1.0,0.057225113903969636,0.9304300552416894,6.0796694603152304e-05,1.7402102837568133e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1098.0
1.0,1.0,0.0572684950781897,0.9303769179915399,6.079533344598056e-05,1.741415922591512e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1099.0
1.0,1.0,0.057311862840088795,0.9303237807413903,6.079397219428548e-05,1.7426210295193584e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1100.0
1.0,1.0,0.05735521719488821,0.9302706434912408,6.079261084805726e-05,1.743825604864571e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1101.0
1.0,1.0,0.057398558147805985,0.9302175062410912,6.079124940728601e-05,1.7450296489510915e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1102.0
1.0,1.0,0.05744188570405692,0.9301643689909417,6.078988787196192e-05,1.7462331621025795e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1103.0
1.0,1.0,0.057485199868852574,0.9301112317407921,6.078852624207511e-05,1.7474361446424178e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1104.0
1.0,1.0,0.057528500647401254,0.9300580944906426,6.078716451761576e-05,1.748638596893711e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1105.0
1.0,1.0,0.057571788044908034,0.930004957240493,6.0785802698573986e-05,1.749840519179285e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1106.0
1.0,1.0,0.057615062066574754,0.9299518199903435,6.078444078493993e-05,1.751041911821687e-05,0.0,0.0,1339.0,1.2172727272727273,733058.7706945455,1339.0,1100.0,1107.0
